entity_id,type,unit,2024-06-30T22:00:00.000Z,2024-07-01T22:00:00.000Z,2024-07-02T22:00:00.000Z,2024-07-03T22:00:00.000Z,2024-07-04T22:00:00.000Z,2024-07-05T22:00:00.000Z,2024-07-06T22:00:00.000Z,2024-07-07T22:00:00.000Z,2024-07-08T22:00:00.000Z
sensor.netzbedarfsumme,grid_consumption,kWh,7.129999999999999,1.2000000000000028,0.9399999999999977,3.719999999999999,4.440000000000005,4.419999999999995,9.560000000000002,3.219999999999999,2.3699999999999974
sensor.netzbedarfsumme_cost,grid_consumption_cost,EUR,1.7199000000000044,0.31799999999999873,0.23999999999999932,0.9330000000000096,1.035000000000009,1.153200000000023,2.3601000000000063,0.745800000000024,0.5414999999999992
sensor.uberschusssummeneu,grid_return,kWh,,,,0.48814057330292215,1.9682417352911363,0.03645290147146918,1.9458156813303025,2.4098892669043614,0.24255046045315254
sensor.akkuinsummeneu,battery_in,kWh,,,,0.7868575795219445,1.2494459722575,0.1261559825872225,1.5175980888108334,1.5955511971883327,0.2782994782477779
sensor.akkuoutsumme,battery_out,kWh,,,,0.46197774117583335,1.0315686036388887,0.5005044175830555,0.0488504720066667,0,0
sensor.solarbankleistungsumme,solar_production,kWh,2.3689290510372274,1.9587411776983288,0.8072734253997211,2.951674030563616,4.264003042409996,0.6748353713988919,3.5198188797694456,3.781869816253888,1.1939944210988855
sensor.aquarumbeleuchtungleistungsumme,device_consumption,kWh,0.27369999999999983,0.48139999999999983,0.2738000000000005,0.5672000000000006,0.5898999999999983,0.2737000000000016,0.2737999999999996,0.2745999999999995,0.20080000000000098
sensor.waschmaschineleistungsumme,device_consumption,kWh,0.34609999999999985,0.04249999999999998,0,0.33530000000000015,0,0.06849999999999978,0,0,0.07390000000000008
sensor.waschetrocknerleistungsumme,device_consumption,kWh,0,0.0004999999999997229,0,0,0,0,1.2641,0,0
sensor.burobeleuchtungjessileistungsumme,device_consumption,kWh,0,0.001800000000000003,0,0.00010000000000000286,0.002599999999999998,0,0,0,0
sensor.mmwzleistungsumme,device_consumption,kWh,0.5499999999999989,0.870000000000001,0.5199999999999996,0.9800000000000004,1.2300000000000004,0.25,0.2599999999999998,1.58,0.7100000000000009
sensor.mmszsumme,device_consumption,kWh,0.1200000000000001,0.10999999999999988,0,0.14000000000000012,0.18000000000000016,0.020000000000000018,0,0,0.009999999999999787
sensor.nachttischlucasleistunhsumme,device_consumption,kWh,0.08884758243727775,0.01753023210508342,0.03446772766016659,0.10835696630927782,0.07777285019975,0.04540581262411114,0.07372264438033327,0.016356964127499984,0.030060975926861078
sensor.schreibtischlucasleistungsumme,device_consumption,kWh,0.11110129108341671,0.08335881260763889,0.0865216706869722,0.15036231506675002,0.1802006175309444,0.1746032138019168,0.17513714447547213,0.15400003248927785,0.07843828452924995
sensor.schreibtischjessicaleistungsumme,device_consumption,kWh,0.14925549472780553,0.12064682343983324,0.12991692553905576,0.2120657889571942,0.3104690938790555,0.23279701992675017,0.21002803135086134,0.38806455207969437,0.22151276099111117
sensor.geschirrspulerleistungsumme,device_consumption,kWh,0.33731810514205574,0,0,0.7201268786100563,0.35553978791524976,0,1.1385328399078611,0,0.28879157190219384
sensor.kuhlschrankleistungsumme,device_consumption,kWh,0.8011544207904442,0.6488665528280553,0.6281378280150838,1.25032424432725,1.4132832889949727,0.6602781485467215,0.6344956422161676,0.6458469265015001,0.4237234713140552
sensor.klimaleistungsumme,device_consumption,kWh,6.729640327746153,0,0,0.6300316439873743,2.1310483547322363,3.32737631807829,7.123359638569042,1.5362850478484873,1.2603541031061667
